"Ship_Mode","Segment","City","State","Sub_Category","diff_in_days","Sales","Quantity","Discount","Profit"
"First Class","Home Office","Houston","Texas","Accessories",3,46.688,4,0.2,-2.918
"Standard Class","Consumer","Tyler","Texas","Accessories",5,27.816,3,0.2,4.5201
"Second Class","Corporate","Los Angeles","California","Binders",5,18.56,4,0.2,6.496
"Standard Class","Consumer","Moreno Valley","California","Furnishings",6,41.96,2,0,10.9096
"Standard Class","Corporate","Lancaster","Pennsylvania","Paper",5,229.544,7,0.2,83.2097
"Standard Class","Consumer","Saginaw","Michigan","Binders",6,15.92,4,0,7.4824
"Standard Class","Consumer","New York City","New York","Phones",4,42.95,1,0,1.2885
"Standard Class","Consumer","New York City","New York","Binders",6,2.688,1,0.2,0.84
"Same Day","Corporate","Fremont","Nebraska","Storage",0,750.68,2,0,37.534
"Standard Class","Consumer","Houston","Texas","Paper",4,25.92,5,0.2,9.072
"Standard Class","Corporate","Philadelphia","Pennsylvania","Appliances",4,41.376,6,0.2,3.1032
"Standard Class","Consumer","Chandler","Arizona","Art",5,9.344,2,0.2,1.8688
"Second Class","Consumer","Chicago","Illinois","Phones",5,148.48,2,0.2,16.704
"Standard Class","Consumer","New York City","New York","Supplies",4,5.04,2,0,0.1512
"Second Class","Consumer","Everett","Massachusetts","Phones",2,39.99,1,0,11.5971
"Standard Class","Consumer","New York City","New York","Supplies",6,10.95,3,0,3.285
"Second Class","Consumer","Seattle","Washington","Furnishings",4,63.92,4,0,3.196
"Standard Class","Corporate","Fairfield","Connecticut","Phones",5,14.99,1,0,7.3451
"First Class","Consumer","San Francisco","California","Furnishings",2,18.28,2,0,6.2152
"Standard Class","Corporate","San Antonio","Texas","Paper",4,335.52,4,0.2,117.432
"Standard Class","Consumer","Mesa","Arizona","Furnishings",4,120.576,8,0.2,33.1584
"Standard Class","Consumer","Seattle","Washington","Binders",7,55.424,2,0.2,19.3984
"Standard Class","Consumer","Newark","Delaware","Paper",6,42.28,7,0,19.8716
"Second Class","Consumer","Philadelphia","Pennsylvania","Paper",5,21.696,4,0.2,7.0512
"Standard Class","Corporate","Sioux Falls","South Dakota","Fasteners",4,6.54,3,0,2.6814
"Standard Class","Consumer","Madison","Wisconsin","Storage",7,665.88,6,0,13.3176
"Standard Class","Consumer","Santa Ana","California","Machines",5,371.976,3,0.2,116.2425
"Standard Class","Consumer","San Francisco","California","Binders",4,27.24,5,0.2,9.534
"Standard Class","Consumer","New York City","New York","Art",7,13.04,4,0,5.7376
"Second Class","Consumer","Evanston","Illinois","Chairs",5,258.279,3,0.3,-70.1043
"Standard Class","Corporate","Wilmington","Delaware","Labels",6,9.96,2,0,4.5816
"Standard Class","Corporate","San Francisco","California","Binders",4,196.704,6,0.2,68.8464
"Same Day","Consumer","Rochester","Minnesota","Binders",0,127.96,2,0,62.7004
"Second Class","Consumer","Springfield","Virginia","Furnishings",2,286.38,3,0,83.0502
"Standard Class","Consumer","Montgomery","Alabama","Art",6,14.67,3,0,3.9609
"Standard Class","Consumer","New York City","New York","Storage",6,166.72,2,0,41.68
"Standard Class","Consumer","Minneapolis","Minnesota","Storage",5,404.9,5,0,16.196
"Standard Class","Consumer","Seattle","Washington","Phones",6,1001.584,2,0.2,125.198
"Standard Class","Home Office","New York City","New York","Accessories",5,360,4,0,129.6
"Standard Class","Corporate","Seattle","Washington","Binders",5,15.92,5,0.2,5.373
"Standard Class","Home Office","Chula Vista","California","Furnishings",5,665.88,6,0,106.5408
"Same Day","Consumer","Dallas","Texas","Tables",0,251.006,2,0.3,-68.1302
"Second Class","Corporate","Apple Valley","California","Bookcases",2,1194.165,5,0.15,210.735
"Standard Class","Home Office","Rome","New York","Phones",6,269.98,2,0,67.495
"First Class","Home Office","Philadelphia","Pennsylvania","Labels",3,20.808,9,0.2,7.0227
"First Class","Corporate","Haltom City","Texas","Accessories",3,207.984,2,0.2,36.3972
"First Class","Corporate","Quincy","Illinois","Paper",3,99.136,4,0.2,30.98
"Standard Class","Consumer","Dallas","Texas","Binders",5,1.08,3,0.8,-1.728
"First Class","Consumer","Newark","Ohio","Art",3,7.152,3,0.2,0.7152
"First Class","Corporate","Bedford","Texas","Binders",2,12.864,8,0.8,-22.512
"Same Day","Consumer","Anaheim","California","Binders",0,5.872,2,0.2,2.1286
"Standard Class","Home Office","League City","Texas","Fasteners",4,3.488,2,0.2,0.5668
"Standard Class","Consumer","Lafayette","Indiana","Fasteners",4,5.94,3,0,0
"Second Class","Consumer","Baltimore","Maryland","Labels",5,58.48,8,0,27.4856
"Standard Class","Consumer","Louisville","Kentucky","Binders",4,48.81,3,0,23.9169
"Second Class","Home Office","Los Angeles","California","Tables",4,896.328,9,0.2,22.4082
"Standard Class","Consumer","New York City","New York","Accessories",4,50,2,0,12
"Standard Class","Consumer","Los Angeles","California","Phones",5,623.96,5,0.2,38.9975
"Standard Class","Consumer","Jonesboro","Arkansas","Furnishings",6,38.6,4,0,11.58
"Standard Class","Corporate","Fort Worth","Texas","Storage",5,772.68,5,0.2,-57.951
"Standard Class","Consumer","Columbus","Ohio","Fasteners",5,4.824,3,0.2,1.7487
"Standard Class","Home Office","Los Angeles","California","Art",4,21.4,5,0,6.206
"Standard Class","Corporate","Seattle","Washington","Labels",5,12.6,2,0,5.796
"Standard Class","Home Office","Concord","New Hampshire","Furnishings",4,322.59,3,0,64.518
"Standard Class","Consumer","Jackson","Mississippi","Furnishings",5,133.38,6,0,58.6872
"Standard Class","Home Office","Springfield","Virginia","Art",4,46.2,4,0,12.936
"Standard Class","Consumer","Philadelphia","Pennsylvania","Binders",4,152.991,3,0.7,-122.3928
"Standard Class","Consumer","San Diego","California","Furnishings",6,53.2,5,0,14.896
"Standard Class","Home Office","Bedford","Texas","Paper",5,20.96,4,0.2,6.812
"Standard Class","Consumer","San Francisco","California","Art",7,23.1,2,0,10.626
"Second Class","Consumer","New York City","New York","Accessories",5,71.6,8,0,13.604
"Standard Class","Consumer","San Francisco","California","Binders",5,8.608,2,0.2,3.0128
"First Class","Consumer","Roseville","Michigan","Supplies",2,4.36,2,0,0.1744
"Standard Class","Corporate","Murfreesboro","Tennessee","Accessories",4,72.744,7,0.2,-12.7302
"First Class","Consumer","Everett","Massachusetts","Accessories",3,177,3,0,30.09
"Standard Class","Corporate","New York City","New York","Chairs",5,866.646,3,0.1,173.3292
"Standard Class","Consumer","Philadelphia","Pennsylvania","Paper",4,10.368,2,0.2,3.6288
"Standard Class","Consumer","Wilmington","North Carolina","Appliances",4,28.08,3,0.2,5.265
"First Class","Home Office","Philadelphia","Pennsylvania","Tables",2,314.532,2,0.4,-83.8752
"Standard Class","Consumer","Fairfield","Ohio","Furnishings",4,82.64,2,0.2,0
"Standard Class","Home Office","Chicago","Illinois","Phones",5,124.792,1,0.2,10.9193
"Second Class","Home Office","San Francisco","California","Art",3,87.92,4,0,26.376
"Standard Class","Home Office","New Rochelle","New York","Paper",6,46.35,5,0,21.7845
"Standard Class","Consumer","Chicago","Illinois","Chairs",4,317.058,3,0.3,-18.1176
"Standard Class","Corporate","Jackson","Mississippi","Binders",4,11.43,3,0,5.3721
"Standard Class","Home Office","Danville","Illinois","Binders",5,43.372,7,0.8,-69.3952
"Standard Class","Corporate","Columbus","Indiana","Binders",4,914.97,3,0,411.7365
"Standard Class","Consumer","Los Angeles","California","Art",5,7.28,4,0,1.9656
"First Class","Corporate","New York City","New York","Storage",3,83.92,4,0,20.1408
"Standard Class","Consumer","Chicago","Illinois","Accessories",4,191.968,4,0.2,28.7952
"Standard Class","Consumer","Los Angeles","California","Furnishings",5,8.73,1,0,2.9682
"Standard Class","Consumer","Seattle","Washington","Envelopes",6,35.89,1,0,16.1505
"Standard Class","Corporate","Springfield","Oregon","Phones",4,859.2,3,0.2,75.18
"Standard Class","Consumer","Chicago","Illinois","Binders",5,8.69,5,0.8,-14.773
"Standard Class","Home Office","Fort Lauderdale","Florida","Furnishings",5,45.568,2,0.2,9.6832
"First Class","Corporate","New York City","New York","Paper",1,30.18,3,0,13.8828
"Standard Class","Consumer","San Francisco","California","Phones",4,110.376,3,0.2,12.4173
"Second Class","Consumer","Henderson","Kentucky","Bookcases",3,261.96,2,0,41.9136
"Standard Class","Home Office","Fargo","North Dakota","Art",5,2.48,1,0,0.868
"Standard Class","Consumer","Salem","Virginia","Supplies",6,231.72,2,0,11.586
"First Class","Home Office","Troy","Ohio","Tables",3,455.97,5,0.4,-106.393
"Standard Class","Consumer","Columbus","Ohio","Machines",5,30.345,7,0.7,-24.276
"First Class","Corporate","Bedford","Texas","Art",2,9.184,7,0.2,2.87
"Standard Class","Corporate","Bridgeton","New Jersey","Storage",4,40.74,3,0,0.4074
"Second Class","Consumer","Sandy Springs","Georgia","Art",2,35.97,3,0,9.7119
"Standard Class","Home Office","Tigard","Oregon","Furnishings",4,13.592,1,0.2,-0.3398
"Standard Class","Corporate","Newark","Ohio","Storage",5,177.568,2,0.2,-37.7332
"Standard Class","Consumer","Springfield","Virginia","Art",4,181.86,7,0,50.9208
"Second Class","Consumer","Detroit","Michigan","Storage",2,194.94,3,0,23.3928
"Standard Class","Home Office","Los Angeles","California","Phones",4,271.96,5,0.2,27.196
"Standard Class","Corporate","Wilmington","Delaware","Bookcases",6,1025.88,6,0,235.9524
"Standard Class","Consumer","New York City","New York","Accessories",5,199.98,2,0,83.9916
"Standard Class","Home Office","Louisville","Kentucky","Binders",6,102.93,3,0,48.3771
"Second Class","Corporate","Los Angeles","California","Appliances",4,61.44,3,0,16.5888
"Second Class","Consumer","Mesa","Arizona","Envelopes",3,43.92,5,0.2,15.921
"Second Class","Corporate","Alexandria","Virginia","Art",4,22.96,7,0,7.5768
"Standard Class","Corporate","Lawrence","Massachusetts","Art",5,6.68,2,0,2.004
"Second Class","Consumer","Los Angeles","California","Binders",3,41.72,5,0.2,13.0375
"Standard Class","Home Office","Philadelphia","Pennsylvania","Furnishings",4,254.352,3,0.2,0
"Standard Class","Home Office","Baltimore","Maryland","Chairs",4,150.98,1,0,43.7842
"Same Day","Consumer","Oklahoma City","Oklahoma","Binders",0,38.16,9,0,19.08
"First Class","Consumer","Philadelphia","Pennsylvania","Furnishings",2,25.344,6,0.2,3.4848
"Second Class","Consumer","San Angelo","Texas","Appliances",2,11.648,4,0.8,-30.8672
"Standard Class","Corporate","Jacksonville","Florida","Phones",6,73.568,4,0.2,-16.5528
"Standard Class","Corporate","Los Angeles","California","Paper",6,105.52,4,0,48.5392
"Standard Class","Consumer","San Jose","California","Chairs",5,256.784,1,0.2,32.098
"Standard Class","Home Office","Phoenix","Arizona","Appliances",7,78.272,2,0.2,5.8704
"Second Class","Consumer","Toledo","Ohio","Supplies",2,14.72,5,0.2,-3.312
"Second Class","Consumer","New York City","New York","Bookcases",2,400.784,1,0.2,-5.0098
"Second Class","Consumer","Long Beach","California","Storage",2,153.78,11,0,44.5962
"Second Class","Consumer","San Francisco","California","Paper",2,94.85,5,0,45.528
"Standard Class","Consumer","Las Vegas","Nevada","Bookcases",4,141.96,2,0,41.1684
"Second Class","Consumer","Los Angeles","California","Paper",5,47.52,9,0,22.8096
"First Class","Consumer","New York City","New York","Phones",3,617.97,3,0,160.6722
"Standard Class","Consumer","Jacksonville","Florida","Binders",4,12.828,2,0.7,-8.9796
"Standard Class","Consumer","Aurora","Illinois","Tables",7,69.375,1,0.5,-47.175
"Second Class","Home Office","Lancaster","Ohio","Binders",3,12.201,7,0.7,-9.7608
"Same Day","Consumer","Glendale","Arizona","Binders",0,9.702,3,0.7,-7.1148
"Second Class","Consumer","Philadelphia","Pennsylvania","Art",4,22.32,5,0.2,5.301
"Second Class","Corporate","New York City","New York","Art",4,41.86,7,0,10.465
"Second Class","Consumer","Mesa","Arizona","Storage",5,272.736,3,0.2,-64.7748
"Second Class","Corporate","Los Angeles","California","Accessories",3,159.56,4,0,59.0372
"Standard Class","Consumer","Memphis","Tennessee","Binders",5,2.946,2,0.7,-2.0622
"Standard Class","Corporate","Broken Arrow","Oklahoma","Binders",5,11.88,2,0,5.346
"Standard Class","Consumer","Chicago","Illinois","Bookcases",4,198.744,4,0.3,0
"Standard Class","Consumer","New York City","New York","Phones",4,881.93,7,0,220.4825
"Standard Class","Consumer","Seattle","Washington","Labels",4,14.62,2,0,6.8714
"Same Day","Consumer","Freeport","New York","Paper",0,20.04,3,0,9.6192
"Standard Class","Consumer","Grand Prairie","Texas","Paper",4,27.216,3,0.2,9.8658
"Second Class","Corporate","Reading","Pennsylvania","Bookcases",4,521.96,4,0.5,-250.5408
"Standard Class","Consumer","New York City","New York","Paper",6,19.65,3,0,9.039
"Standard Class","Corporate","Peoria","Illinois","Furnishings",4,2.96,2,0.6,-1.406
"First Class","Corporate","Lakeland","Florida","Storage",1,1036.624,2,0.2,51.8312
"Standard Class","Home Office","Escondido","California","Art",5,23.36,4,0,6.0736
"Same Day","Corporate","Newark","Ohio","Phones",0,164.388,2,0.4,-35.6174
"Second Class","Corporate","Chicago","Illinois","Accessories",4,19.04,4,0.2,-1.428
"Standard Class","Consumer","Moreno Valley","California","Furnishings",6,842.72,8,0,202.2528
"Second Class","Corporate","Seattle","Washington","Binders",2,26.352,3,0.2,9.5526
"Same Day","Consumer","San Francisco","California","Binders",1,14.352,3,0.2,5.0232
"Standard Class","Home Office","Baltimore","Maryland","Furnishings",6,1049.2,5,0,272.792
"Standard Class","Consumer","Port Arthur","Texas","Paper",6,23.68,4,0.2,7.4
"Standard Class","Corporate","Belleville","New Jersey","Storage",6,1082.48,8,0,10.8248
"Same Day","Consumer","Redlands","California","Labels",0,7.83,3,0,3.6018
"Standard Class","Consumer","Manchester","Connecticut","Paper",6,274.8,5,0,134.652
"Standard Class","Corporate","Chicago","Illinois","Envelopes",5,9.912,3,0.2,3.2214
"First Class","Corporate","Philadelphia","Pennsylvania","Chairs",1,422.625,7,0.3,0
"Standard Class","Corporate","Jacksonville","North Carolina","Fasteners",7,31.504,11,0.2,11.814
"Standard Class","Consumer","Henderson","Kentucky","Furnishings",7,318.08,4,0,34.9888
"Second Class","Consumer","New York City","New York","Storage",4,1395.54,9,0,362.8404
"Standard Class","Home Office","Houston","Texas","Storage",5,228.92,5,0.2,14.3075
"Second Class","Corporate","Alexandria","Virginia","Supplies",4,4164.05,5,0,83.281
"Second Class","Corporate","New York City","New York","Furnishings",3,45.98,1,0,7.8166
"Second Class","Corporate","Houston","Texas","Fasteners",2,15.808,8,0.2,5.3352
"First Class","Corporate","San Francisco","California","Accessories",2,99.98,2,0,7.9984
"Standard Class","Consumer","Los Angeles","California","Phones",5,907.152,6,0.2,90.7152
"First Class","Consumer","Greeley","Colorado","Furnishings",3,11.664,3,0.2,3.3534
"Standard Class","Home Office","Auburn","Alabama","Art",4,3.76,2,0,1.0904
"Standard Class","Consumer","Mcallen","Texas","Art",5,175.92,5,0.2,15.393
"Standard Class","Corporate","New York City","New York","Accessories",5,36,2,0,6.48
"Second Class","Home Office","Concord","New Hampshire","Paper",2,184.66,7,0,84.9436
"Standard Class","Consumer","Plano","Texas","Paper",4,11.648,2,0.2,4.0768
"Second Class","Consumer","Johnson City","Tennessee","Paper",2,10.272,3,0.2,3.21
"Second Class","Consumer","Lake Charles","Louisiana","Binders",2,17.94,3,0,8.6112
"First Class","Corporate","Santa Barbara","California","Labels",2,31.05,3,0,14.904
"Standard Class","Consumer","Parker","Colorado","Furnishings",4,13.36,5,0.2,4.008
"Second Class","Consumer","Memphis","Tennessee","Paper",2,25.92,5,0.2,9.072
"Standard Class","Corporate","Cedar Hill","Texas","Paper",5,115.296,3,0.2,40.3536
"Second Class","Consumer","Jacksonville","Florida","Bookcases",2,155.456,4,0.2,-7.7728
"Second Class","Corporate","Las Vegas","Nevada","Paper",3,97.88,2,0,48.94
"Standard Class","Home Office","Lorain","Ohio","Furnishings",4,54.712,7,0.2,11.6263
"Standard Class","Home Office","Troy","Ohio","Envelopes",6,8.872,1,0.2,3.2161
"Second Class","Consumer","Houston","Texas","Accessories",2,57.584,2,0.2,0.7198
"First Class","Consumer","Los Angeles","California","Art",2,123.92,4,0,33.4584
"Standard Class","Consumer","Roseville","Michigan","Envelopes",6,17.48,2,0,8.2156
"Standard Class","Consumer","Coppell","Texas","Art",4,10.192,7,0.2,3.185
"Standard Class","Consumer","Los Angeles","California","Fasteners",5,15,3,0,7.2
"Standard Class","Consumer","Monroe","North Carolina","Bookcases",4,77.728,2,0.2,-3.8864
"Same Day","Consumer","Jacksonville","Florida","Art",0,4.448,2,0.2,1.112
"Standard Class","Consumer","Bakersfield","California","Labels",6,74,5,0,37
"Standard Class","Home Office","Alexandria","Virginia","Paper",5,19.44,3,0,9.3312
"Same Day","Home Office","Los Angeles","California","Storage",0,481.32,4,0,125.1432
"Second Class","Corporate","Brentwood","California","Furnishings",2,23.88,3,0,10.5072
"Standard Class","Corporate","New York City","New York","Art",4,23.1,2,0,6.468
"Standard Class","Consumer","Salem","Virginia","Phones",6,271.96,4,0,67.99
"First Class","Home Office","Aurora","Colorado","Appliances",3,209.792,2,0.2,26.224
"Standard Class","Home Office","Columbia","Maryland","Furnishings",6,91.92,4,0,31.2528
"Second Class","Consumer","Columbia","South Carolina","Chairs",2,301.96,2,0,33.2156
"Standard Class","Consumer","New York City","New York","Accessories",4,1619.91,9,0,97.1946
"Standard Class","Home Office","New York City","New York","Paper",4,6.48,1,0,3.1104
"Second Class","Corporate","Philadelphia","Pennsylvania","Phones",2,728.946,9,0.4,-157.9383
"Standard Class","Home Office","Seattle","Washington","Bookcases",4,84.98,1,0,18.6956
"Standard Class","Consumer","Westland","Michigan","Accessories",4,109.95,1,0,36.2835
"First Class","Consumer","Dallas","Texas","Binders",3,10.024,4,0.8,-16.5396
"First Class","Corporate","Tempe","Arizona","Accessories",3,7.16,1,0.2,-0.0895
"Standard Class","Corporate","Philadelphia","Pennsylvania","Envelopes",4,52.512,6,0.2,19.692
"Standard Class","Consumer","Frankfort","Illinois","Appliances",6,20.768,8,0.8,-52.9584
"Second Class","Consumer","San Jose","California","Accessories",2,72,4,0,12.96
"Standard Class","Home Office","Springfield","Ohio","Paper",4,89.568,2,0.2,32.4684
"Second Class","Home Office","Saint Charles","Illinois","Machines",5,600.53,2,0.3,137.264
"Second Class","Corporate","La Porte","Indiana","Envelopes",3,287.52,8,0,129.384
"Second Class","Corporate","Sunnyvale","California","Accessories",4,149.95,5,0,31.4895
"First Class","Consumer","Seattle","Washington","Binders",3,1219.96,5,0.2,381.2375
"First Class","Home Office","Mesa","Arizona","Paper",1,31.104,6,0.2,10.8864
"Second Class","Corporate","Los Angeles","California","Chairs",5,122.352,3,0.2,13.7646
"Standard Class","Consumer","Tallahassee","Florida","Phones",5,705.544,7,0.2,70.5544
"Second Class","Consumer","Arlington","Virginia","Paper",4,71.28,11,0,34.2144
"First Class","Corporate","Tempe","Arizona","Phones",3,230.376,3,0.2,20.1579
"Same Day","Corporate","Lawrence","Massachusetts","Phones",0,391.98,2,0,109.7544
"Standard Class","Consumer","Akron","Ohio","Art",5,14.352,3,0.2,0.897
"Second Class","Consumer","El Paso","Texas","Art",2,31.744,2,0.2,3.968
"Standard Class","Consumer","Pembroke Pines","Florida","Binders",4,7.506,9,0.7,-6.0048
"Standard Class","Corporate","Dallas","Texas","Storage",6,12.992,1,0.2,-0.812
"Second Class","Corporate","Brentwood","California","Paper",2,26.76,4,0,12.3096
"Standard Class","Consumer","Seattle","Washington","Chairs",5,698.352,3,0.2,52.3764
"Second Class","Consumer","Thornton","Colorado","Furnishings",3,16.192,1,0.2,4.6552
"Second Class","Consumer","Columbus","Ohio","Paper",2,36.288,7,0.2,12.7008
"Standard Class","Consumer","Houston","Texas","Chairs",5,600.558,3,0.3,-8.5794
"Standard Class","Consumer","San Diego","California","Chairs",4,225.568,2,0.2,2.8196
"Second Class","Consumer","New York City","New York","Labels",5,7.31,1,0,3.4357
"Standard Class","Consumer","San Diego","California","Storage",6,83.76,12,0,1.6752
"Standard Class","Consumer","Long Beach","New York","Bookcases",6,176.784,1,0.2,-22.098
"Standard Class","Consumer","Visalia","California","Storage",7,261.74,2,0,65.435
"Standard Class","Corporate","New York City","New York","Art",5,11.2,7,0,4.816
"Standard Class","Home Office","Laguna Niguel","California","Paper",6,12.96,2,0,6.3504
"First Class","Corporate","Springfield","Oregon","Accessories",3,159.968,4,0.2,29.994
"Standard Class","Consumer","Belleville","New Jersey","Paper",5,143.7,3,0,68.976
"Standard Class","Consumer","New York City","New York","Art",7,71.96,2,0,17.99
"Same Day","Consumer","Philadelphia","Pennsylvania","Paper",0,40.032,6,0.2,15.012
"Same Day","Consumer","New York City","New York","Phones",0,287.97,3,0,80.6316
"Standard Class","Home Office","Sheboygan","Wisconsin","Labels",6,25.2,4,0,11.592
"Standard Class","Consumer","Chicago","Illinois","Storage",5,228.92,5,0.2,14.3075
"Standard Class","Consumer","New York City","New York","Accessories",4,357,3,0,57.12
"Second Class","Consumer","Dearborn Heights","Michigan","Storage",2,689.82,6,0,20.6946
"Standard Class","Corporate","Seattle","Washington","Paper",7,37.94,2,0,18.2112
"First Class","Corporate","Suffolk","Virginia","Paper",2,12.96,2,0,6.2208
"Standard Class","Corporate","San Diego","California","Binders",5,30.96,2,0.2,10.062
